,F,I,tfidf,H,H-tilde,H-tilde_std,N
SCNN1D,9.676712642663775e-07,-0.012799999999968836,4.960043507980195,2.321928094887362,2.3091280948873933,0.07039999999909706,5
ACAP3,1.9546959538180824e-05,0.08914516578926968,2.484052866746972,6.346233512411924,6.435378678201194,0.06382478534833315,101
PUSL1,9.87024689551705e-06,0.0397219735921146,2.9507664841258743,5.515562596873456,5.55528457046557,0.06763816282160208,51
INTS11,3.9287453329214924e-05,-0.014797830643307641,1.8005927099532377,7.258787518106454,7.243989687463146,0.06260452312200492,203
CPTP,9.483178389810499e-06,0.15248849946790077,3.2001345100306033,5.354406017540444,5.5068945170083445,0.06692047480783724,49
TAS1R3,5.806027585598265e-07,0.6606666666666651,8.814501359781525,0.9182958340544894,1.5789625007211545,0.06296030495518969,3
DVL1,9.483178389810499e-06,-0.11545134337290808,2.6776611223036695,5.614709844115208,5.4992585007423,0.06714364757659108,49
MXRA8,7.741370114131019e-07,-0.006999999999997897,5.183187059294405,2.0,1.993000000000002,0.05874521257086106,4
AURKAIP1,0.00010450849654076877,0.06563934687730111,1.3807981360567452,8.08021820189847,8.145857548775771,0.04751113746798749,540
CCNL2,4.6641754937639396e-05,-0.07095129901232511,1.5878540277820952,7.497789336158146,7.426838037145821,0.05785399212611896,241
MRPL20,9.928307171373032e-05,0.15443147385724565,1.5126578500563936,7.951754494718218,8.106185968575463,0.04862378331413093,513
AL391244.3,9.676712642663775e-07,-0.01239999999996888,4.960043507980195,2.321928094887362,2.3095280948873933,0.06932705099651663,5
ANKRD65,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
ATAD3C,2.322411034239306e-06,-0.024292481250420828,4.084574770626295,3.584962500721156,3.5606700194707352,0.0649390478894813,12
ATAD3B,1.238619218260963e-05,-0.08361392196811668,2.5211324236069204,5.9375,5.853886078031883,0.06710453345678895,64
ATAD3A,8.709041378397396e-06,-0.011145932227779376,2.938899039824024,5.402964207440786,5.391818275213007,0.0667287518478567,45
TMEM240,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
SSU72,0.00011941063401047098,0.0685561934950254,1.3072503889425402,8.16621169398369,8.234767887478716,0.04348883738221074,617
AL645728.1,1.8385754021061173e-05,0.028742823482216018,2.418727845824325,6.330330476729227,6.359073300211443,0.0642502090903896,95
FNDC10,5.4189590798917135e-06,0.010878517408335675,3.3948906490177433,4.7359263506290326,4.746804868037368,0.06615228952697062,28
AL691432.2,6.580164597011367e-06,0.09975002168787928,3.438929140051325,4.910992253015045,5.010742274702924,0.06412265887951528,34
MIB2,3.0191343445110977e-05,0.12666771199584925,2.2287670093214067,6.8270062252447685,6.953673937240618,0.062383673566839604,156
MMP23B,4.838356321331887e-06,0.10212667649853113,3.7325947874838543,4.483856189774724,4.585982866273255,0.06611989794170914,25
CDK11B,3.0578411950817525e-05,0.02608409014907398,2.0189042474000924,6.942265460336826,6.9683495504859,0.06298668700873983,158
SLC35E2B,1.8385754021061173e-05,-0.031529934892400746,2.297005329507732,6.393488371466069,6.361958436573668,0.06372304422255078,95
CDK11A,3.7932713559241996e-05,-0.028751941187556085,1.8115720674797968,7.238309652733487,7.209557711545931,0.060618040240331954,196
SLC35E2A,1.238619218260963e-05,0.014022676850970583,2.6401459820716746,5.84375,5.857772676850971,0.06529310963413101,64
NADK,6.657578298152677e-05,0.38002446592539396,2.166988657961173,7.392317497981402,7.772341963906796,0.053480294100645066,344
GNB1,0.00014263474435286403,0.210880733872564,1.4086328872687315,8.143611196490335,8.354491930362899,0.041320555525251226,737
AL109917.1,3.8706850570655096e-07,-0.0009999999999992237,5.8763342398543505,1.0,0.9990000000000008,0.03160696125854548,2
CALML6,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
TMEM52,3.8706850570655096e-07,-0.0029999999999992255,5.8763342398543505,1.0,0.9970000000000008,0.05469003565549385,2
CFAP74,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
GABRD,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
PRKCZ,4.644822068478612e-06,-0.05420300781474108,3.39142759006635,4.584962500721156,4.530759492906415,0.06694715410965742,24
AL590822.2,2.322411034239306e-06,0.14043709270809712,4.550821251944646,3.4182958340544896,3.5587329267625867,0.06538020831279655,12
PRKCZ-AS1,3.8706850570655096e-07,-0.0019999999999992246,5.8763342398543505,1.0,0.9980000000000008,0.04467661580736863,2
FAAP20,6.734991999293987e-05,0.12132547099986724,1.6704641736622796,7.660776605228818,7.782102076228686,0.05220255664601085,348
SKI,1.6643945745381694e-05,0.10427796971258996,2.632781137027984,6.12963946395411,6.2339174336667,0.06572254988248848,86
MORN1,1.5482740228262038e-06,-0.015000000000002345,4.49003987873446,3.0,2.9849999999999977,0.059371710436444326,8
RER1,8.302619447405519e-05,0.12923758830136922,1.5663213235767741,7.832212283873619,7.961449872174988,0.05110181348956878,429
PEX10,7.160767355571193e-06,0.24232302330729016,3.7423640641735014,4.8851290413046256,5.127452064611916,0.06785785289029922,37
PLCH2,4.644822068478612e-06,0.03154862135264924,3.5832909959845005,4.501629167387823,4.533177788740472,0.06558809086836692,24
AL139246.1,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
PANK4,6.773698849864642e-06,0.1516848974965015,3.540074114758718,4.900711588373538,5.052396485870039,0.06678015840033981,35
HES5,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
AL139246.5,3.2707288732203555e-05,0.13834920518067584,2.1857558200688656,6.904581785507467,7.042930990688143,0.06352703403232421,169
TNFRSF14-AS1,5.806027585598265e-06,0.15664490080362636,3.6373828382332967,4.681727678869737,4.838372579673363,0.06830561028475592,30
TNFRSF14,9.07675645881862e-05,0.018771112431604564,1.3729863792056045,8.017151482435873,8.035922594867477,0.0505316178733256,469
AL139246.3,1.161205517119653e-06,-0.011999999999984468,4.7777219511862405,2.584962500721156,2.5729625007211716,0.06209669878424514,6
FAM213B,5.612493332744989e-06,-0.06545232069143658,3.202185590427822,4.857980995127572,4.792528674436135,0.06633910192269603,29
MMEL1,2.12887678138603e-06,-0.019523171591134147,4.171586147615925,3.4594316186372973,3.439908447046163,0.05895013255157897,11
TTC34,2.9030137927991324e-06,0.09853072666555018,4.211168668713254,3.7735572622751854,3.8720879889407356,0.06864876204428293,15
PRDM16,1.9353425285327548e-07,0.0,6.569481420414296,0.0,0.0,0.0,1
MEGF6,3.483616551358959e-06,-0.04119715972342597,3.6791096625181314,4.169925001442312,4.128727841718886,0.06994824955531494,18
